Food_Id,Food_Item,Restaurant_Id,Calories,Total_Fat_g,Carbohydrates_g,Protein_g
480,Iced Turtle Macchiato Medium,5,290,7,49,7
481,Mocha Frappe,5,450,18,65,7
482,Mocha Regular,5,330,12,48,7
483,Oreo Frappe,5,540,20,82,7
484,Premium Asian Salad wo Chicken,5,140,7,13,7
485,French Fries Large,5,510,24,66,7
486,1 Low Fat Milk Jug,5,100,3,12,8
487,McFlurry w OREO Cookies Snack Size,5,340,11,40,8
488,Strawberry Sundae,5,320,10,40,8
489,Cappuccino Medium,5,160,8,13,8
490,Cappuccino Small,5,120,6,9,8
491,Caramel Cappuccino Medium,5,260,6,44,8
492,Frappe Chocolate Chip,5,530,23,76,8
493,Iced Mocha Caramel,5,300,14,36,8
494,Iced Mocha Nonfat Caramel,5,230,5,38,8
495,Latte Caramel,5,280,8,43,8
496,Latte French Vanilla,5,280,8,44,8
497,Latte Hazelnut,5,280,8,45,8
498,Latte Sugar Free French Vanilla,5,160,8,21,8
499,McCafe Caramel Macchiato Small,5,260,7,41,8
500,Mocha Caramel,5,290,12,39,8
501,Mocha Nonfat,5,280,6,50,8
502,Turtle Macchiato Small,5,310,8,50,8
503,Premium Southwest Salad wo Chicken,5,220,10,26,8
504,Fat Free Chocolate Milk Jug,5,130,0,23,9
505,Hotcakes,5,600,16,102,9
506,Hot Caramel Sundae,5,380,6,51,9
507,McFlurry w MMs Candies Snack Size,5,420,15,51,9
508,Mocha Nonfat Caramel,5,240,4,41,9
509,Nonfat Latte Caramel,5,220,0,45,9
510,Nonfat Latte French Vanilla,5,220,0,46,9
511,Nonfat Latte Hazelnut,5,220,0,46,9
512,Nonfat Latte Sugar Free French Vanilla,5,90,0,22,9
513,Turtle Macchiato Medium,5,370,10,60,9
514,Vanilla Cappuccino Large,5,310,9,47,9
515,Chicken McNuggets 4 Piece,5,180,11,11,10
516,Hot Fudge Sundae,5,380,8,43,10
517,Rolo McFlurry Snack Size,5,510,16,84,10
518,Hot Chocolate Regular,5,380,15,53,10
519,Iced Turtle Macchiato Large,5,410,10,68,10
520,Latte Regular,5,180,10,13,10
521,McCafe Caramel Macchiato Medium,5,320,9,50,10
522,McCafe Peppermint Mocha Small,5,340,12,48,10
523,Nonfat Latte Regular,5,110,0,15,10
524,Sausage Biscuit Regular Size,5,460,30,36,11
525,Sausage McGriddles,5,430,24,42,11
526,McCafe Shamrock Shake,5,530,15,86,11
527,Vanilla McCafe Shake Small,5,490,15,61,11
528,Cappuccino Large,5,210,11,17,11
529,Caramel Cappuccino Large,5,350,9,55,11
